medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Gold Medal,1,2024-07-30,DANIEL WIFFEN,IRL,M,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1539969
Silver Medal,2,2024-07-30,BOBBY FINKE,USA,M,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1935902
Bronze Medal,3,2024-07-30,GREGORIO PALTRINIERI,ITA,M,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1925630
Gold Medal,1,2024-07-30,KAYLEE MCKEOWN,AUS,W,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,1946198
Silver Medal,2,2024-07-30,REGAN SMITH,USA,W,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,1935984
Bronze Medal,3,2024-07-30,KATHARINE BERKOFF,USA,W,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,1935873
Gold Medal,1,2024-07-30,WANG/SUN,CHN,X,Table Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000100--,TTEXDOUBLES-CHN01
Silver Medal,2,2024-07-30,RI/KIM,PRK,X,Table Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000100--,TTEXDOUBLES-PRK01
Bronze Medal,3,2024-07-30,LIM/SHIN,KOR,X,Table Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000200--,TTEXDOUBLES-KOR01
Gold Medal,1,2024-07-31,OKA SHINNOSUKE,JPN,M,Artistic Gymnastics,Men's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--,1919480
Silver Medal,2,2024-07-31,ZHANG BOHENG,CHN,M,Artistic Gymnastics,Men's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--,1918864
Bronze Medal,3,2024-07-31,XIAO RUOTENG,CHN,M,Artistic Gymnastics,Men's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--,1918860
Gold Medal,1,2024-07-31,JESSICA FOX,AUS,W,Canoe Slalom,Women's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--,1940205
Silver Medal,2,2024-07-31,ELENA LILIK,GER,W,Canoe Slalom,Women's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--,1913770
Bronze Medal,3,2024-07-31,EVY LEIBFARTH,USA,W,Canoe Slalom,Women's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--,1955132
Gold Medal,1,2024-07-31,CHINA,CHN,W,Diving,Women's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/women-s-synchronised-10m-platform/fnl-000100--,DIVW10MTEAM2CHN01
Silver Medal,2,2024-07-31,DPR KOREA,PRK,W,Diving,Women's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/women-s-synchronised-10m-platform/fnl-000100--,DIVW10MTEAM2PRK01
Bronze Medal,3,2024-07-31,GREAT BRITAIN,GBR,W,Diving,Women's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/women-s-synchronised-10m-platform/fnl-000100--,DIVW10MTEAM2GBR01
Gold Medal,1,2024-07-31,KOREA,KOR,M,Fencing,Men's Sabre Team,HTEAM,/en/paris-2024/results/fencing/men-s-sabre-team/fnl-000100--,FENMTEAMSABRKOR01
Silver Medal,2,2024-07-31,HUNGARY,HUN,M,Fencing,Men's Sabre Team,HTEAM,/en/paris-2024/results/fencing/men-s-sabre-team/fnl-000100--,FENMTEAMSABRHUN01
Bronze Medal,3,2024-07-31,FRANCE,FRA,M,Fencing,Men's Sabre Team,HTEAM,/en/paris-2024/results/fencing/men-s-sabre-team/fnl-000200--,FENMTEAMSABRFRA01
Gold Medal,1,2024-07-31,LASHA BEKAURI,GEO,M,Judo,Men -90 kg,HATH,/en/paris-2024/results/judo/men--90-kg/fnl-000100--,1548817
Silver Medal,2,2024-07-31,MURAO SANSHIRO,JPN,M,Judo,Men -90 kg,HATH,/en/paris-2024/results/judo/men--90-kg/fnl-000100--,1896750
Bronze Medal,3,2024-07-31,MAXIME-GAEL NGAYAP HAMBOU,FRA,M,Judo,Men -90 kg,HATH,/en/paris-2024/results/judo/men--90-kg/repf000100--,1891318
Bronze Medal,3,2024-07-31,THEODOROS TSELIDIS,GRE,M,Judo,Men -90 kg,HATH,/en/paris-2024/results/judo/men--90-kg/repf000200--,1961318
Gold Medal,1,2024-07-31,BARBARA MATIC,CRO,W,Judo,Women -70 kg,HATH,/en/paris-2024/results/judo/women--70-kg/fnl-000100--,1898499
Silver Medal,2,2024-07-31,MIRIAM BUTKEREIT,GER,W,Judo,Women -70 kg,HATH,/en/paris-2024/results/judo/women--70-kg/fnl-000100--,1563082
Bronze Medal,3,2024-07-31,MICHAELA POLLERES,AUT,W,Judo,Women -70 kg,HATH,/en/paris-2024/results/judo/women--70-kg/repf000100--,1566421
Bronze Medal,3,2024-07-31,GABRIELLA WILLEMS,BEL,W,Judo,Women -70 kg,HATH,/en/paris-2024/results/judo/women--70-kg/repf000200--,1903248
Gold Medal,1,2024-07-31,NETHERLANDS,NED,M,Rowing,Men's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/men-s-quadruple-sculls/fnl---------,ROWMSCULL4--NED01
Silver Medal,2,2024-07-31,ITALY,ITA,M,Rowing,Men's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/men-s-quadruple-sculls/fnl---------,ROWMSCULL4--ITA01
Bronze Medal,3,2024-07-31,POLAND,POL,M,Rowing,Men's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/men-s-quadruple-sculls/fnl---------,ROWMSCULL4--POL01
Gold Medal,1,2024-07-31,GREAT BRITAIN,GBR,W,Rowing,Women's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/women-s-quadruple-sculls/fnl---------,ROWWSCULL4--GBR01
Silver Medal,2,2024-07-31,NETHERLANDS,NED,W,Rowing,Women's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/women-s-quadruple-sculls/fnl---------,ROWWSCULL4--NED01
Bronze Medal,3,2024-07-31,GERMANY,GER,W,Rowing,Women's Quadruple Sculls,TEAM,/en/paris-2024/results/rowing/women-s-quadruple-sculls/fnl---------,ROWWSCULL4--GER01
Gold Medal,1,2024-07-31,ADRIANA RUANO OLIVA,GUA,W,Shooting,Trap Women,ATH,/en/paris-2024/results/shooting/trap-women/fnl-000100--,1958899
Silver Medal,2,2024-07-31,SILVANA MARIA STANCO,ITA,W,Shooting,Trap Women,ATH,/en/paris-2024/results/shooting/trap-women/fnl-000100--,1915317
Bronze Medal,3,2024-07-31,PENNY SMITH,AUS,W,Shooting,Trap Women,ATH,/en/paris-2024/results/shooting/trap-women/fnl-000100--,1967454
Gold Medal,1,2024-07-31,PAN ZHANLE,CHN,M,Swimming,Men's 100m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-100m-freestyle/fnl-000100--,1945148
Silver Medal,2,2024-07-31,KYLE CHALMERS,AUS,M,Swimming,Men's 100m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-100m-freestyle/fnl-000100--,1946200
Bronze Medal,3,2024-07-31,DAVID POPOVICI,ROU,M,Swimming,Men's 100m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-100m-freestyle/fnl-000100--,1543549
Gold Medal,1,2024-07-31,LEON MARCHAND,FRA,M,Swimming,Men's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-200m-breaststroke/fnl-000100--,1909294
Silver Medal,2,2024-07-31,ZAC STUBBLETY-COOK,AUS,M,Swimming,Men's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-200m-breaststroke/fnl-000100--,1946185
Bronze Medal,3,2024-07-31,CASPAR CORBEAU,NED,M,Swimming,Men's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-200m-breaststroke/fnl-000100--,1972545
Gold Medal,1,2024-07-31,LEON MARCHAND,FRA,M,Swimming,Men's 200m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--,1909294
Silver Medal,2,2024-07-31,KRISTOF MILAK,HUN,M,Swimming,Men's 200m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--,1905860
Bronze Medal,3,2024-07-31,ILYA KHARUN,CAN,M,Swimming,Men's 200m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--,1967058
Gold Medal,1,2024-07-31,SARAH SJOESTROEM,SWE,W,Swimming,Women's 100m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--,1572557
Silver Medal,2,2024-07-31,TORRI HUSKE,USA,W,Swimming,Women's 100m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--,1935923
Bronze Medal,3,2024-07-31,HAUGHEY SIOBHAN BERNADETTE,HKG,W,Swimming,Women's 100m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--,1925125
Gold Medal,1,2024-07-31,KATIE LEDECKY,USA,W,Swimming,Women's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--,1935938
Silver Medal,2,2024-07-31,ANASTASIIA KIRPICHNIKOVA,FRA,W,Swimming,Women's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--,1909209
Bronze Medal,3,2024-07-31,ISABEL GOSE,GER,W,Swimming,Women's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--,1907171
Gold Medal,1,2024-07-31,ALEX YEE,GBR,M,Triathlon,Men's Individual,ATH,/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--,1904251
Silver Medal,2,2024-07-31,HAYDEN WILDE,NZL,M,Triathlon,Men's Individual,ATH,/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--,1926549
Bronze Medal,3,2024-07-31,LEO BERGERE,FRA,M,Triathlon,Men's Individual,ATH,/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--,1543967
Gold Medal,1,2024-07-31,CASSANDRE BEAUGRAND,FRA,W,Triathlon,Women's Individual,ATH,/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--,1543963
Silver Medal,2,2024-07-31,JULIE DERRON,SUI,W,Triathlon,Women's Individual,ATH,/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--,1976489
Bronze Medal,3,2024-07-31,BETH POTTER,GBR,W,Triathlon,Women's Individual,ATH,/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--,1904244
Gold Medal,1,2024-08-01,SIMONE BILES,USA,W,Artistic Gymnastics,Women's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--,1959861
Silver Medal,2,2024-08-01,REBECA ANDRADE,BRA,W,Artistic Gymnastics,Women's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--,1953634
Bronze Medal,3,2024-08-01,SUNISA LEE,USA,W,Artistic Gymnastics,Women's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--,1959866
Gold Medal,1,2024-08-01,BRIAN DANIEL PINTADO,ECU,M,Athletics,Men's 20km Race Walk,ATH,/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--,1929767
Silver Medal,2,2024-08-01,CAIO BONFIM,BRA,M,Athletics,Men's 20km Race Walk,ATH,/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--,1951928
Bronze Medal,3,2024-08-01,ALVARO MARTIN,ESP,M,Athletics,Men's 20km Race Walk,ATH,/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--,1904165
Gold Medal,1,2024-08-01,YANG JIAYU,CHN,W,Athletics,Women's 20km Race Walk,ATH,/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--,1919002
Silver Medal,2,2024-08-01,MARIA PEREZ,ESP,W,Athletics,Women's 20km Race Walk,ATH,/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--,1905369
Bronze Medal,3,2024-08-01,JEMIMA MONTAG,AUS,W,Athletics,Women's 20km Race Walk,ATH,/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--,1939791
Gold Medal,1,2024-08-01,GIOVANNI DE GENNARO,ITA,M,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,1550975
Silver Medal,2,2024-08-01,TITOUAN CASTRYCK,FRA,M,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,1880464
Bronze Medal,3,2024-08-01,PAU ECHANIZ,ESP,M,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,1953935
Gold Medal,1,2024-08-01,UNITED STATES,USA,W,Fencing,Women's Foil Team,HTEAM,/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--,FENWTEAMFOILUSA01
Silver Medal,2,2024-08-01,ITALY,ITA,W,Fencing,Women's Foil Team,HTEAM,/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--,FENWTEAMFOILITA01
Bronze Medal,3,2024-08-01,JAPAN,JPN,W,Fencing,Women's Foil Team,HTEAM,/en/paris-2024/results/fencing/women-s-foil-team/fnl-000200--,FENWTEAMFOILJPN01
Gold Medal,1,2024-08-01,ZELYM KOTSOIEV,AZE,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/fnl-000100--,1972367
Silver Medal,2,2024-08-01,ILIA SULAMANIDZE,GEO,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/fnl-000100--,1552370
Bronze Medal,3,2024-08-01,PETER PALTCHIK,ISR,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/repf000100--,1892957
Bronze Medal,3,2024-08-01,MUZAFFARBEK TUROBOYEV,UZB,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/repf000200--,1565754
Gold Medal,1,2024-08-01,ALICE BELLANDI,ITA,W,Judo,Women -78 kg,HATH,/en/paris-2024/results/judo/women--78-kg/fnl-000100--,1925349
Silver Medal,2,2024-08-01,INBAR LANIR,ISR,W,Judo,Women -78 kg,HATH,/en/paris-2024/results/judo/women--78-kg/fnl-000100--,1892794
Bronze Medal,3,2024-08-01,MA ZHENZHAO,CHN,W,Judo,Women -78 kg,HATH,/en/paris-2024/results/judo/women--78-kg/repf000100--,1891067
Bronze Medal,3,2024-08-01,PATRICIA SAMPAIO,POR,W,Judo,Women -78 kg,HATH,/en/paris-2024/results/judo/women--78-kg/repf000200--,1943504
Gold Medal,1,2024-08-01,ROMANIA,ROU,M,Rowing,Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/men-s-double-sculls/fnl---------,ROWMSCULL2--ROU01
Silver Medal,2,2024-08-01,NETHERLANDS,NED,M,Rowing,Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/men-s-double-sculls/fnl---------,ROWMSCULL2--NED01
Bronze Medal,3,2024-08-01,IRELAND,IRL,M,Rowing,Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/men-s-double-sculls/fnl---------,ROWMSCULL2--IRL01
Gold Medal,1,2024-08-01,UNITED STATES,USA,M,Rowing,Men's Four,TEAM,/en/paris-2024/results/rowing/men-s-four/fnl---------,ROWMNOCOX4--USA01
Silver Medal,2,2024-08-01,NEW ZEALAND,NZL,M,Rowing,Men's Four,TEAM,/en/paris-2024/results/rowing/men-s-four/fnl---------,ROWMNOCOX4--NZL01
Bronze Medal,3,2024-08-01,GREAT BRITAIN,GBR,M,Rowing,Men's Four,TEAM,/en/paris-2024/results/rowing/men-s-four/fnl---------,ROWMNOCOX4--GBR01
Gold Medal,1,2024-08-01,NEW ZEALAND,NZL,W,Rowing,Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------,ROWWSCULL2--NZL01
Silver Medal,2,2024-08-01,ROMANIA,ROU,W,Rowing,Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------,ROWWSCULL2--ROU01
Bronze Medal,3,2024-08-01,GREAT BRITAIN,GBR,W,Rowing,Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------,ROWWSCULL2--GBR01
Gold Medal,1,2024-08-01,NETHERLANDS,NED,W,Rowing,Women's Four,TEAM,/en/paris-2024/results/rowing/women-s-four/fnl---------,ROWWNOCOX4--NED01
Silver Medal,2,2024-08-01,GREAT BRITAIN,GBR,W,Rowing,Women's Four,TEAM,/en/paris-2024/results/rowing/women-s-four/fnl---------,ROWWNOCOX4--GBR01
Bronze Medal,3,2024-08-01,NEW ZEALAND,NZL,W,Rowing,Women's Four,TEAM,/en/paris-2024/results/rowing/women-s-four/fnl---------,ROWWNOCOX4--NZL01
Gold Medal,1,2024-08-01,LIU YUKUN,CHN,M,Shooting,50m Rifle 3 Positions Men,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--,1913922
Silver Medal,2,2024-08-01,SERHIY KULISH,UKR,M,Shooting,50m Rifle 3 Positions Men,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--,1555976
Bronze Medal,3,2024-08-01,SWAPNIL KUSALE,IND,M,Shooting,50m Rifle 3 Positions Men,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--,1538084
Gold Medal,1,2024-08-01,HUBERT KOS,HUN,M,Swimming,Men's 200m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--,1904977
Silver Medal,2,2024-08-01,APOSTOLOS CHRISTOU,GRE,M,Swimming,Men's 200m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--,1954557
Bronze Medal,3,2024-08-01,ROMAN MITYUKOV,SUI,M,Swimming,Men's 200m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--,1977754
Gold Medal,1,2024-08-01,KATE DOUGLASS,USA,W,Swimming,Women's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--,1935895
Silver Medal,2,2024-08-01,TATJANA SMITH,RSA,W,Swimming,Women's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--,1962589
Bronze Medal,3,2024-08-01,TES SCHOUTEN,NED,W,Swimming,Women's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--,1972525
Gold Medal,1,2024-08-01,SUMMER MCINTOSH,CAN,W,Swimming,Women's 200m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--,1967140
Silver Medal,2,2024-08-01,REGAN SMITH,USA,W,Swimming,Women's 200m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--,1935984
Bronze Medal,3,2024-08-01,ZHANG YUFEI,CHN,W,Swimming,Women's 200m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--,1945125
Gold Medal,1,2024-08-01,AUSTRALIA,AUS,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,SWMW4X200MFRAUS01
Silver Medal,2,2024-08-01,UNITED STATES,USA,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,SWMW4X200MFRUSA01
Bronze Medal,3,2024-08-01,CHINA,CHN,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,SWMW4X200MFRCHN01
Gold Medal,1,2024-08-02,KOREA,KOR,X,Archery,Mixed Team,HTEAM,/en/paris-2024/results/archery/mixed-team/fnl-000100--,ARCXTEAM2---KOR01
Silver Medal,2,2024-08-02,GERMANY,GER,X,Archery,Mixed Team,HTEAM,/en/paris-2024/results/archery/mixed-team/fnl-000100--,ARCXTEAM2---GER01
Bronze Medal,3,2024-08-02,UNITED STATES,USA,X,Archery,Mixed Team,HTEAM,/en/paris-2024/results/archery/mixed-team/fnl-000200--,ARCXTEAM2---USA01
Gold Medal,1,2024-08-02,JOSHUA CHEPTEGEI,UGA,M,Athletics,"Men's 10,000m",ATH,/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--,1970827
Silver Medal,2,2024-08-02,BERIHU AREGAWI,ETH,M,Athletics,"Men's 10,000m",ATH,/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--,1536998
Bronze Medal,3,2024-08-02,GRANT FISHER,USA,M,Athletics,"Men's 10,000m",ATH,/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--,1960959
Gold Medal,1,2024-08-02,ZHENG/HUANG,CHN,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000100--,BDMXDOUBLES-CHN02
Silver Medal,2,2024-08-02,KIM/JEONG,KOR,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000100--,BDMXDOUBLES-KOR02
Bronze Medal,3,2024-08-02,WATANABE/HIGASHINO,JPN,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000200--,BDMXDOUBLES-JPN01
Gold Medal,1,2024-08-02,JORIS DAUDET,FRA,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--,1895661
Silver Medal,2,2024-08-02,SYLVAIN ANDRE,FRA,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--,1895640
Bronze Medal,3,2024-08-02,ROMAIN MAHIEU,FRA,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--,1895700
Gold Medal,1,2024-08-02,SAYA SAKAKIBARA,AUS,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--,1940127
Silver Medal,2,2024-08-02,MANON VEENSTRA,NED,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--,1969181
Bronze Medal,3,2024-08-02,ZOE CLAESSENS,SUI,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--,1976480
Gold Medal,1,2024-08-02,CHINA,CHN,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,DIVM3MTEAM2-CHN01
Silver Medal,2,2024-08-02,MEXICO,MEX,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,DIVM3MTEAM2-MEX01
Bronze Medal,3,2024-08-02,GREAT BRITAIN,GBR,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,DIVM3MTEAM2-GBR01
Gold Medal,1,2024-08-02,GREAT BRITAIN,GBR,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--,EQUOJUMPTEAMGBR01
Silver Medal,2,2024-08-02,UNITED STATES,USA,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--,EQUOJUMPTEAMUSA01
Bronze Medal,3,2024-08-02,FRANCE,FRA,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--,EQUOJUMPTEAMFRA01
Gold Medal,1,2024-08-02,HUNGARY,HUN,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--,FENMTEAMEPEEHUN01
Silver Medal,2,2024-08-02,JAPAN,JPN,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--,FENMTEAMEPEEJPN01
Bronze Medal,3,2024-08-02,CZECHIA,CZE,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000200--,FENMTEAMEPEECZE01
Gold Medal,1,2024-08-02,TEDDY RINER,FRA,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--,1891323
Silver Medal,2,2024-08-02,KIM MINJONG,KOR,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--,1928072
Bronze Medal,3,2024-08-02,TEMUR RAKHIMOV,TJK,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/repf000100--,1567512
Bronze Medal,3,2024-08-02,ALISHER YUSUPOV,UZB,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/repf000200--,1566931
Gold Medal,1,2024-08-02,BEATRIZ SOUZA,BRA,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--,1953777
Silver Medal,2,2024-08-02,RAZ HERSHKO,ISR,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--,1892796
Bronze Medal,3,2024-08-02,KIM HAYUN,KOR,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/repf000100--,1928070
Bronze Medal,3,2024-08-02,ROMANE DICKO,FRA,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/repf000200--,1891300
Gold Medal,1,2024-08-02,IRELAND,IRL,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------,ROWMSCULL2-LIRL01
Silver Medal,2,2024-08-02,ITALY,ITA,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------,ROWMSCULL2-LITA01
Bronze Medal,3,2024-08-02,GREECE,GRE,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------,ROWMSCULL2-LGRE01
Gold Medal,1,2024-08-02,GREAT BRITAIN,GBR,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------,ROWWSCULL2-LGBR01
Silver Medal,2,2024-08-02,ROMANIA,ROU,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------,ROWWSCULL2-LROU01
Bronze Medal,3,2024-08-02,GREECE,GRE,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------,ROWWSCULL2-LGRE01
Gold Medal,1,2024-08-02,CROATIA,CRO,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------,ROWMNOCOX2--CRO01
